TCCE,Subprojeto,Nome do Projeto
TCCE - 3/2026,Subprojeto 01,Além dos condutos: popularização e divulgação da ciência espeleológica
TCCE - 3/2026,Subprojeto 02,Revisão do Plano de Manejo da Área de Proteção Ambiental Carste de Lagoa Santa
TCCE - 3/2026,Subprojeto 03,Recifes de coral - as Cavernas Submarinas do Nordeste do Brasil
TCCE - 3/2026,Subprojeto 04,Gerenciamento de dados dos Planos de Ação para a Conservação das Espécies Ameaçadas de Extinção
TCCE - 3/2026,Subprojeto 05,Sistema Nacional de Anilhamento de Aves e Morcegos Silvestres
TCCE - 3/2026,Subprojeto 06,"Ampliação das ações de divulgação, pesquisa e conservação do patrimônio espeleológico nos estados da Bahia e Rio Grande do Norte"
TCCE - 3/2026,Subprojeto 07,Fortalecimento Operacional e Capacitação da Seção de Espeleorresgate da Sociedade Brasileira de Espeleologia
TCCE - 3/2026,Subprojeto 08,Sounds in cave: Descobrindo a ecoacústica em cavernas do Semiárido
TCCE - 3/2026,Subprojeto 09,Filogeografia de colêmbolos cavernícolas na Caatinga
TCCE - 3/2026,Subprojeto 10,GAP - Gestão Administrativa dos Projetos e ações necessários para viabilização e implementação das compensações espeleológicas
TCCE - 3/2026,Subprojeto 11,Implementação de ações do PAN Cavernas do Brasil
TCCE - 3/2026,Subprojeto 12,"Conservação e gestão do patrimônio espeleológico brasileiro e a ocupação pré-colonial do planalto central a partir do sítio arqueológico GO-Ja-02, Serranópolis, Goiás"
TCCE - 3/2026,Subprojeto 13,Reconstituição paleoclimática desde o Último Máximo Glacial da região Nordeste do Brasil utilizando estalagmites
TCCE - 3/2026,Subprojeto 14,Programa de Apoio ao Turismo de Base Comunitária em Unidades de Conservação federais com Cavidades Naturais Subterrâneas e Áreas Cársticas
TCCE - 3/2026,Subprojeto 14.1,Caixa de Pedra: Resgate e inserção da comunidade Montana na Rota Turística do Parque Naional da Furna Feia
TCCE - 3/2026,Subprojeto 14.2,Casa de Memória
TCCE - 3/2026,Subprojeto 14.3,Projeto Geoaves 2
TCCE - 3/2026,Subprojeto 14.4,Raízes e Trilhas: Fortalecimento do Turismo de Base Comunitária em Ubajara
TCCE - 3/2026,Subprojeto 14.5,"Catálogo Integrado das Trilhas, Cavernas, natureza e Pontos Turísticos dos Municípios Maturéia, Mãe d’água, Teixeira, São José do Bonfim e Imaculada, integrantes do PARNA SERRA DO TEIXEIRA"
TCCE - 3/2026,Subprojeto 14.6,Cuidar do Sagrado: Sítios arqueológicos ancestrais Kapinawá
TCCE - 3/2026,Subprojeto 15,Mapeamento Genético e Morfológico De Collembola (Hexapoda) Cavernícolas do Brasil
TCCE - 3/2026,Subprojeto 16,Fortalecimento estratégico da comunicação institucional e científica do ICMBIo
TCCE - 3/2026,Subprojeto 17,Apoio à Implantação do Centro de Referência em Espeleologia
TCCE - 3/2026,Subprojeto 18,CECAV 30 Anos – Fortalecimento Institucional e Gestão da Conservação do Patrimônio Espeleológico
