TCCE,Subprojeto,Nome do Projeto
TCCE - 1/2022,Subprojeto 01,37º Congresso Brasileiro de Espeleologia
TCCE - 1/2022,Subprojeto 02,39º Congresso Brasileiro de Espeleologia
TCCE - 1/2022,Subprojeto 03,19º Congresso Internacional de Espeleologia - CIE
TCCE - 1/2022,Subprojeto 04,CAVE TOOLS - Caderno de Campo Digital do CECAV - app para dispositivo móvel
TCCE - 1/2022,Subprojeto 05,Recifes de Coral - as cavernas submarinas do Nordeste do Brasil
TCCE - 1/2022,Subprojeto 06,Paisagem Sonora de Cavernas e dos Ecossistemas em seu entorno no Parque Nacional da Serra do Cipó
TCCE - 1/2022,Subprojeto 07,GAP - Gestão Administrativa dos Projetos e Ações necessários para viabilização e implementação das compensações espeleológicas
TCCE - 1/2022,Subprojeto 08,Geoespeleologia do Carste Siliciclático da Formação Tombador: Subsídios à Conservação do Patrimônio Espeleológico na Chapada Diamantina
TCCE - 1/2022,Subprojeto 09,Projeto Luzes na Escuridão
TCCE - 1/2022,Subprojeto 10,Aplicação de Traçadores corantes para caracterização da dinâmica atual de fluxo d'água subterrânea no Carste de São Desidério - Bahia
TCCE - 1/2022,Subprojeto 11,Prêmio Michel Le Bret de Espeleologia
TCCE - 1/2022,Subprojeto 12,As Cavernas de Ibitipoca
TCCE - 1/2022,Subprojeto 13,O Carste em rochas carbonáticas pré-cambrianas dos grupos Ceará e Frecheirinha
TCCE - 1/2022,Subprojeto 14,Vivências 3D: Uma imersão em realidade virtual no Parque Nacional Cavernas do Peruaçu e Furna Feia
TCCE - 1/2022,Subprojeto 15,"Livro ""O Carste Potiguar"""
TCCE - 1/2022,Subprojeto 16,"Segurança, Prevenção de Acidentes e Primeiros Socorros em Cavidades Naturais Subterrâneas e Áreas Remotas"
TCCE - 1/2022,Subprojeto 17,Mapeamento de Feições cársticas hidrofuncionais na APA Nascente do Rio Vermelho
TCCE - 1/2022,Subprojeto 18,Edital de Conservação do Patrimônio Espeleológico em Unidades de Conservação
TCCE - 1/2022,Subprojeto 18.1,Investigando o Patrimônio Espeleológico no Mosáico do Espinhaço
TCCE - 1/2022,Subprojeto 18.2,Manejando o Patrimônio Espeleológico do Parque Estadual de Ibitipoca
TCCE - 1/2022,Subprojeto 18.3,Avaliação do potencial espeleoturístico das principais cavidades do Parque Estadual do Itacolomi (PEIT)
TCCE - 1/2022,Subprojeto 18.4,Cavidades ferríferas de Carajás: Plano de Manejo Espeleológico como instrumento de conservação e valorização dos seus patrimônios
TCCE - 1/2022,Subprojeto 18.5,"Desvendando uma potencial nova espécie de morcego nectarívoro (Lonchophyllinae) das cavernas de Carajás: um estudo sobre história natural, genética, filogenia e distribuição"
TCCE - 1/2022,Subprojeto 18.6,Identificação e mapeamento topográfico de cavidades presentes no Parque Estadual do Itacolomi (PEIT)
TCCE - 1/2022,Subprojeto 18.7,Diagnóstico Ambiental Espeleológico Monumento Natural Estadual Gruta Rei do Mato
TCCE - 1/2022,Subprojeto 18.8,Avaliação de contaminação das águas por agroquímicos e metais e sua relação com a proteção do Patrimônio Espeleológico na APA das Nascentes do Rio Vermelho
TCCE - 1/2022,Subprojeto 18.9,Planejamento e Desenvolvimento de Ações para valorização do Patrimônio Natural e Cultural da Unidade de Conservação Municipal Monumento Natural Cárstico de Brejo do Amparo/Januária - Minas Gerais
TCCE - 1/2022,Subprojeto 18.10,Patrimônio Espeleológico da APA Carste de Lagoa Santa
TCCE - 1/2022,Subprojeto 18.11,Inventário e Diagnóstico do Patrimônio Espeleológico do Refúgio de Vida Silvestre Libélulas da Serra de José e Área de Proteção Ambiental São José
TCCE - 1/2022,Subprojeto 18.12,Fortalecimento da gestão e da utilização sustentável do patrimônio espeleológico do Parque Nacional da Furna Feia
TCCE - 1/2022,Subprojeto 18.13,Ações de Conservação do Patrimônio Espeleológico na UC Parque Nacional de Ubajara
TCCE - 1/2022,Subprojeto 18.14,"Ordenamento turístico para conservação do patrimônio espeleológico em UC Federais dos Estados de Sergipe, Bahia e Alagoas"
TCCE - 1/2022,Subprojeto 19,Inventário de Fungos em cavernas de UCs de biomas brasileiros: diversidade e subsídios para manejo espeleológico
TCCE - 1/2022,Subprojeto 20,"Revitalização da estrutura de apoio à visitação do Lajedo de Soledade, Apodi/RN"
TCCE - 1/2022,Subprojeto 21,Publicação e Divulgação da obra Aves do Parque Nacional da Furna Feia
TCCE - 1/2022,Subprojeto 22,Plano de Ação Nacional Cavernas do Brasil
