TCCE,Subprojeto,Nome do Projeto
TCCE - 1/2018,Subprojeto 01,Estudos Espeleológicos (Caráter Especial - Execução por Contrato)
TCCE - 1/2018,Subprojeto 02,Filogeografia de invertebrados troglóbios em formações ferríferas e carbonáticas
TCCE - 1/2018,Subprojeto 03,"Bat caves em cavernas ferríferas da Floresta Nacional de Carajás: aspectos físicos, biológicos e cronológicos"
TCCE - 1/2018,Subprojeto 4,Edital de Pesquisas Ecossistemica da Flona Carajás
TCCE - 1/2018,Subprojeto 4.1,Monitoramento térmico de bat caves em Florestas Nacional de Carajás
TCCE - 1/2018,Subprojeto 4.2,"Associação de morcegos (Mammalia, Chiroptera) a cavidades ferríferas através de levantamentos simples - a importância das Aicom's e Sicom's"
TCCE - 1/2018,Subprojeto 4.3,Geoquímica e Isótopos aplicados ao estudo geoecológico das cavernas da região de Carajás
TCCE - 1/2018,Subprojeto 4.4,"Morcegos de cavernas: conhecer para preservar. Diversidade genética, banco de células e de tecidos"
TCCE - 1/2018,Subprojeto 4.5,"Diversidade de Arthropoda em cavidades da Floresta Nacional de Carajás e Parque Nacional dos Campos Ferruginosos - o habitat subterrâneo, a conectividade entre suas populações e a influência do entorno"
TCCE - 1/2018,Subprojeto 5.1,Restauração Ambiental
TCCE - 1/2018,Subprojeto 5.2,"Susceptibilidade, hidrologia e geomorfologia cárstica aplicadas à conservação do patrimônio espelológico da Área de Proteção Ambiental das nascentes do Rio Vermelho"
TCCE - 1/2018,Subprojeto 5.3.1,Espeleometria e Gestão do Projeto
TCCE - 1/2018,Subprojeto 5.3.2,Apoio à gestão da APA
TCCE - 1/2018,Subprojeto 06,"Estudo para criação de unidade de conservação federal de proteção integral na região da Serra do Ramalho, Bahia (Cooperação Técnica)"
TCCE - 1/2018,Subprojeto 07,"Correção, modernização e atualização do Cadastro Nacional de Informações Espeleológicas - CANIE"
TCCE - 1/2018,Subprojeto 08,Aprimoramentos metodológicos para o Levantamento de Atributos Espeleométricos no Rito do Licenciamento Ambiental
TCCE - 1/2018,Subprojeto 09,Construção do Centro de Referência em Espeleologia e da sede do Cecav/ICMBio
TCCE - 1/2018,Subprojeto 10,5ª Edição curso Espeleologia (40 pessoas - 40 Horas) - Curso de Espeleologia e Licenciamento Ambiental do Instituto Chico Mendes
TCCE - 1/2018,Subprojeto 11,Livro Cavernas ferríferas do Brasil
TCCE - 1/2018,Subprojeto 12,Ecologia de Vertebrados Associados a Cavernas do Espinhaço Meridional
TCCE - 1/2018,Subprojeto 13,Dispersão versus confinamento: análise composicional e de estrutura de habitat como subsídio à compreensão de mecanismos responsáveis pela identidade faunística subterrânea
TCCE - 1/2018,Subprojeto 14,Revelando a biodiversidade subterrânea em um oásis na Caatinga
TCCE - 1/2018,Subprojeto 15,Prêmio Michel Le Bret de Espeleologia
TCCE - 1/2018,Subprojeto 16,"Divulgação Científica e Educomunicação junto às comunidades locais no Parque Nacional Cavernas do Peruaçu, MG"
TCCE - 1/2018,Subprojeto 17,Edital de Chamamento Público para seleção de Projetos sobre o Patrimônio Espeleológico em Rochas Ferruginosas
TCCE - 1/2018,Subprojeto 17.1,Diversidade taxonômica e funcional de insetos aquáticos neotropicais em igarapés das áreas ferruginosas do Brasil
TCCE - 1/2018,Subprojeto 17.2,DIVERSIDADE METABARCODING E FUNCIONAL DE COMUNIDADES MICROBIANAS DO SOLO DE CAVERNAS FERRÍFERAS DO PARQUE NACIONAL DOS CAMPOS FERRUGINOSOS - PA
TCCE - 1/2018,Subprojeto 17.3,"Estudos da paisagem, da geodiversidade e propostas de geoconservação do Geossistema Ferruginoso Carajás, PA"
TCCE - 1/2018,Subprojeto 17.4,Registros paleoambientais de depósitos de guano em cavernas ferríferas da Floresta Nacional de Carajás
TCCE - 1/2018,Subprojeto 17.5,"Passado, presente e futuro para a conservação das áreas cavernícolas e dos serviços ecossistêmicos prestados por morcegos"
TCCE - 1/2018,Subprojeto 17.6,"Diversidade de organismos do solo, em cavernas em formação ferrífera no Quadrilatero Ferrifero, Minas Gerais, Brasil, com uso de DNA metabarcoding"
TCCE - 1/2018,Subprojeto 17.7,Microbiota de cavernas da FLONA Carajás/PA: inventário e subsídios para o manejo espeleoturístico
TCCE - 1/2018,Subprojeto 17.8,"TAXONOMIA E FILOGENIA MOLECULAR DE FUNGOS EM CAVERNAS FERRÍFERAS ENTRE AS REGIÕES DE CONCEIÇÃO DO MATO DENTRO E SERRO, MINAS GERAIS"
